Message,Count
E0602-undefined-variable,179
R1710-inconsistent-return-statements,40
C0301-line-too-long,90
R1727-condition-evals-to-constant,1
W0612-unused-variable,88
C0325-superfluous-parens,2
E0704-misplaced-bare-raise,2
R1705-no-else-return,12
W0104-pointless-statement,47
W0613-unused-argument,154
E1101-no-member,14
E1111-assignment-from-no-return,26
E1121-too-many-function-args,10
C0209-consider-using-f-string,9
E1120-no-value-for-parameter,16
W0622-redefined-builtin,11
E0601-used-before-assignment,9
R1711-useless-return,5
W0127-self-assigning-variable,6
W0621-redefined-outer-name,9
R0124-comparison-with-itself,4
W0101-unreachable,12
R1734-use-list-literal,3
E0102-function-redefined,5
R1707-trailing-comma-tuple,1
R1720-no-else-raise,1
R0801-duplicate-code,3
R1704-redefined-argument-from-local,3
E1135-unsupported-membership-test,2
C0200-consider-using-enumerate,5
E1133-not-an-iterable,3
W0301-unnecessary-semicolon,2
E0119-misplaced-format-function,2
W0707-raise-missing-from,2
W0511-fixme,1
W0702-bare-except,2
C0123-unidiomatic-typecheck,1
R1721-unnecessary-comprehension,1
W0105-pointless-string-statement,8
E1306-too-few-format-args,2
E0633-unpacking-non-sequence,4
R0903-too-few-public-methods,4
W0311-bad-indentation,4
E1136-unsubscriptable-object,6
C1803-use-implicit-booleaness-not-comparison,1
W1116-isinstance-second-argument-not-valid-type,1
E1123-unexpected-keyword-arg,4
W0125-using-constant-test,1
R1726-simplifiable-condition,2
E1137-unsupported-assignment-operation,1
W0106-expression-not-assigned,2
E1305-too-many-format-args,1
W4701-modified-iterating-list,1
W0212-protected-access,3
E1128-assignment-from-none,1
R1722-consider-using-sys-exit,1
W0128-redeclared-assigned-name,1
W0238-unused-private-member,1
E1102-not-callable,1
R0205-useless-object-inheritance,1
R1714-consider-using-in,1
